"parm","WLS"
0.01,354240.887755919
0.02,305072.241902013
0.03,280566.576798196
0.04,251878.091057735
0.05,227434.484526236
0.06,206762.247610777
0.07,190900.068942665
0.08,170508.680452341
0.09,148623.630101459
0.1,131108.189204933
0.11,109793.565815106
0.12,145878.441063025
0.13,108427.153747799
0.14,69020.4889113472
0.15,83468.8377509803
0.16,48835.4628294735
0.17,45972.6064495927
0.18,34240.3359744529
0.19,58457.0275217227
0.2,36437.957211971
0.21,24016.6867870513
0.22,23651.4409630896
0.23,NA
0.24,21125.2440265743
0.25,20850.015009105
0.26,20586.6117708848
0.27,20021.7987973076
0.28,19974.1999702911
0.29,19370.6152955507
0.3,19547.538934565
0.31,20646.5249128255
0.32,19398.2580840337
0.33,18951.7672538206
0.34,18331.3517953443
0.35,18128.8563722376
0.36,17977.2821200561
0.37,17975.8017460266
0.38,18018.1227908074
0.39,17581.1021930237
0.4,17074.1718908915
0.41,17228.4890245121
0.42,17840.62082375
0.43,17707.0656837428
0.44,17088.5827246446
0.45,16886.43978988
0.46,16717.7302117852
0.47,16468.7505365505
0.48,17221.1786189784
0.49,16574.8747881403
0.5,18782.865222972
0.51,16083.693427959
0.52,16313.9996939694
0.53,15993.6836419961
0.54,16134.7622267751
0.55,16741.4823061059
0.56,16060.8904732118
0.57,15377.3534268995
0.58,15825.6437052259
0.59,16342.0625929218
0.6,15210.8008941493
0.61,15505.8806234034
0.62,15346.2973891473
0.63,15401.0900670121
0.64,15265.6128864646
0.65,15200.2436116015
0.66,15102.5472197669
0.67,15127.1380242879
0.68,15073.8446907489
0.69,15248.9402523684
0.7,NA
0.71,14926.5952981442
0.72,NA
0.73,14305.3199045587
0.74,14659.1307506788
0.75,14726.1967142193
0.76,15032.5720356205
0.77,14447.0188171057
0.78,14443.9696994202
0.79,14521.3500394809
0.8,14618.0267354677
0.81,14472.1310772313
0.82,NA
0.83,14211.3958766461
0.84,14261.4165943919
0.85,15360.0785078379
0.86,14236.0921784871
0.87,14178.4893505339
0.88,14190.2317807846
0.89,14116.6859411887
0.9,14168.3090522238
0.91,14253.3702434392
0.92,14184.4609227217
0.93,14235.8899718996
0.94,14057.8080091147
0.95,NA
0.96,13969.9645535075
0.97,14181.3999435673
0.98,NA
0.99,13901.5844245683
1,13792.3678470816
